trial,seed,base_duration,imp_duration,min_cost,base_cost,imp_cost
635,746395975001,5679,787,1.0179125967644021E8,1.2739094595094989E8,1.0779271065683216E8
636,746434248897,6562,858,1.0693356975218642E8,1.362009226933631E8,1.1339235406591189E8
637,746475011087,5754,986,1.0238685594119716E8,1.2889148339217764E8,1.0872183633335406E8
638,746510173304,5753,827,1.0728880958133125E8,1.351995546793704E8,1.1389155467937036E8
639,746551414780,5744,763,1.0216568893387926E8,1.2711433599270287E8,1.0827951246329103E8
640,746588157737,5689,1141,1.040835305970607E8,1.3061756981274676E8,1.1069274628333506E8
641,746625079585,6514,856,1.0592417757121119E8,1.351777658065054E8,1.1225629521827017E8
642,746666307160,6486,941,1.1379210636570999E8,1.425982828362981E8,1.2054608675786656E8
643,746704813655,5998,832,1.0820379507148251E8,1.366025205616786E8,1.147190303656002E8
644,746742798719,5801,766,1.0195251352089237E8,1.2959729783461788E8,1.0823970959932368E8
645,746777797359,5726,983,1.0978080417800991E8,1.3619952966820607E8,1.1622352966820602E8
646,746816890134,5673,879,1.0818550311600105E8,1.358180913512951E8,1.1436195409639336E8
647,746852340071,6378,1002,1.0845158949886954E8,1.3795533459690884E8,1.152113738125951E8
648,746891394620,6027,872,1.052498529995304E8,1.3265548045051104E8,1.1144238241129519E8
649,746928449397,5824,875,1.061546369551739E8,1.3354483303360526E8,1.1272748009242886E8
650,746968322545,5730,941,1.0866863049399896E8,1.3558074814105773E8,1.1488214029792057E8
651,747008876359,5800,704,1.080215679008028E8,1.3449752868511677E8,1.1395980319492054E8
652,747048030262,5856,943,1.1092230973007324E8,1.386579960045831E8,1.1719070188693593E8
653,747090358675,5969,828,1.0272086356822996E8,1.2927070670548505E8,1.0910292239175937E8
654,747125912320,5924,816,1.0376212738444833E8,1.2902297052170329E8,1.0989810777660516E8
655,747163531111,5999,787,1.0718847918980366E8,1.3405036154274507E8,1.136288321309801E8
656,747201456219,5334,923,1.0153859434679522E8,1.2749361395463842E8,1.080498688565991E8
657,747234936461,5830,864,1.1008848812549596E8,1.375801744000058E8,1.1681148812549585E8
658,747273405929,5509,761,1.0713246229388674E8,1.3190797209780824E8,1.130668936664356E8
659,747312603189,5874,935,1.0544855340155216E8,1.3327037693096404E8,1.1199082791135615E8
660,747354648067,6149,866,1.0778592606256744E8,1.344976123370773E8,1.1429723978805749E8
661,747396001569,5495,812,1.0904523292827506E8,1.3440813488905957E8,1.1526146822239292E8
662,747428900433,6053,869,1.0579661238182668E8,1.330958672837873E8,1.119462790484932E8
663,747467410235,5600,820,1.0522698783494017E8,1.3178420352121447E8,1.115164584231752E8
664,747506581940,5851,1029,1.0826363537757282E8,1.348877138089455E8,1.1468767459325907E8
665,747543659219,6098,1029,1.0620941133615418E8,1.3399807800282098E8,1.125145093753698E8
666,747582476222,6002,929,1.0922373169207606E8,1.3563939835874274E8,1.1527800620188008E8
667,747619626026,5401,800,1.0049041471634574E8,1.257514735398751E8,1.0639463040262021E8
668,747654070543,6079,873,1.0925428471590658E8,1.3682420628453398E8,1.1544318667669085E8
669,747693692985,6039,911,1.0743947096002576E8,1.346756082149276E8,1.1351035331296687E8
670,747730889038,6510,982,1.0528400299412613E8,1.34675120641185E8,1.1204070887647901E8
671,747775042518,6030,856,1.0718676615581867E8,1.3473333478326973E8,1.1360366811660306E8
672,747813193729,5952,836,1.088770550036888E8,1.3604293735663E8,1.1526221186643389E8
673,747853023893,5487,753,1.0656264928516947E8,1.3188535516752243E8,1.1239192379497343E8
674,747887116444,5955,895,1.1096532017667712E8,1.3816675154922614E8,1.1709314370608902E8
675,747923532561,5587,939,1.0139548568386413E8,1.2692940725249125E8,1.0749209352700128E8
676,747962664842,6391,952,1.0912470925594495E8,1.3783012102065092E8,1.1557847396182756E8
677,748002046047,5903,772,1.0376724970780335E8,1.2905540657054837E8,1.0960848500192103E8
678,748039884180,5963,742,1.083031009264495E8,1.3626490484801832E8,1.1424257151468477E8
679,748078449992,5989,827,1.0759898718186773E8,1.3490971267206377E8,1.1380490875049503E8
